 Host Star,# Planet, Planet Mass,Planet Mass, Orbital Period, Semi Major Axis,Discovery,Constellation,Visibility,V magnitude
(catalogue),(designation),(Jupiter mass),(Earth mass),(day),(au),(year),(English),,
,,,,,,,,,
1 exoplanet (4 systems),,,,,,,,,
,,,,,,,,,
Edasich (iota Draconis),iota Draconis b,8.82,2803.3,510.70,1.275,2002,the Dragon ,Visible to the naked eye,3.3
Errai (gamma Cephei),gamma Cephei b,1.85,588.0,903.30,2.05,2003,the King,Visible to the naked eye,3.2
Fomalhaut (alpha Piscis Austrini),Fomalhaut b,3.00,953.5,320000.00,115,2008,the Southern Fish ,Visible to the naked eye,1.2
Pollux (beta Geminorum),beta Geminorum b,2.90,921.7,589.64,1.69,2006,the Twins ,Visible to the naked eye,1.2
,,,,,,,,,
,,,,,,,,,
1 star + 1 exoplanet (225 systems),,,,,,,,,
,,,,,,,,,
14 Andromedae,14 Andromedae b,5.33,1694.0,185.84,0.83,2008,the Chained Maiden,Visible to the naked eye,5.2
14 Herculis,14 Herculis b,4.64,1474.7,1773.40,2.77,2002,the Hercules ,Visible through binocular,6.7
16 Cygni B,16 Cygni B b,1.68,534.0,799.50,1.68,1996,the Swan ,Very faint to the naked eye,6.2
18 Delphinis,18 Delphinis b,10.30,3273.6,993.30,2.6,2008,the Dolphin ,Faint to the naked eye,5.5
4 Ursae Majoris,4 Ursae Majoris b,7.10,2256.6,269.30,0.87,2007,the Great Bear ,Faint to the naked eye,5.8
42 Draconis,42 Draconis b,3.88,1233.2,479.10,1.19,2008,the Dragon ,Visible to the naked eye,4.8
51 Pegasi,51 Pegasi b,0.47,148.7,4.23,0.052,1995,the Winged Horse ,Visible to the naked eye,5.5
6 Lyncis,6 Lyncis b,2.40,762.8,899.00,2.2,2008,the Lynx,Faint to the naked eye,5.9
70 Virginis,70 Virginis b,6.60,2097.7,116.67,0.48,1996,the Maiden,Visible to the naked eye,5.0
81 Ceti,81 Ceti b,5.30,1684.5,952.70,2.5,2008,the Sea Monster,Faint to the naked eye,5.7
BD-10 3166,BD-10 3166 b,0.48,152.6,3.49,0.046,2000,the Cup ,,10.1
BD-17 63,BD-17 63 b,5.10,1620.9,655.60,1.34,2008,the Sea Monster,Visible through binocular,9.6
beta Pictoris,beta Pictoris b,7.00,2224.8,7890.00,9.04,2008,the Painter's Easel ,Visible to the naked eye,3.9
CoRoT-1,CoRoT-1 b,1.03,327.4,1.51,0.0254,2007,the Unicorn,,13.6
CoRoT-2,CoRoT-2 b,3.31,1052.0,1.74,0.0281,2007,the Eagle,,12.6
CoRoT-4,CoRoT-4 b,0.72,228.8,9.20,0.09,2008,the Unicorn,,13.7
epsilon Eridani,epsilon Eridani b,1.55,492.6,2502.00,3.39,2000,the River ,Visible to the naked eye,3.7
epsilon Reticuli,epsilon Reticuli b,1.35,429.1,415.20,1.16,2000,the Reticle ,Visible to the naked eye,4.4
epsilon Tauri,epsilon Tauri b,7.60,2415.5,594.90,1.93,2007,the Bull ,Visible to the naked eye,3.5
GJ 176,GJ 176 b,0.03,8.4,8.78,0.066,2007,the Bull ,Visible through binocular,10.0
GJ 436,GJ 436 b,0.07,23.4,2.64,0.02887,2004,the Lion ,,10.7
GJ 674,GJ 674 b,0.04,11.8,4.69,0.039,2007,the Altar,Visible through binocular,9.4
GJ 832,GJ 832 b,0.64,203.4,3416.00,3.4,2008,the Crane ,Visible through binocular,8.7
GJ 849,GJ 849 b,0.90,286.0,1914.00,2.35,2006,the Water Bearer,,10.4
GJ 86,GJ 86 b,4.01,1274.5,15.77,0.11,2000,the River ,Very faint to the naked eye,6.2
HAT-P-1,HAT-P-1 b,0.53,166.9,4.47,0.05561,2006,the Lizard ,,10.4
HAT-P-2,HAT-P-2 b,8.74,2777.8,5.63,0.0674,2007,the Hercules ,Visible through binocular,8.7
HAT-P-3,HAT-P-3 b,0.59,187.8,2.90,0.03866,2007,the Great Bear ,,11.9
HAT-P-4,HAT-P-4 b,0.68,216.1,3.06,0.0446,2007,the Herdsman ,,11.2
HAT-P-5,HAT-P-5 b,1.06,336.9,2.79,0.04079,2007,the Lyre,,12.0
HAT-P-6,HAT-P-6 b,1.06,335.9,3.85,0.05235,2007,the Chained Maiden,,10.5
HAT-P-7,HAT-P-7 b,1.74,553.3,2.20,0.0379,2008,the Swan ,,10.5
HAT-P-8,HAT-P-8 b,1.34,425.9,3.08,0.0449,2008,the Winged Horse ,,10.2
HAT-P-9,HAT-P-9 b,0.67,212.9,3.92,0.053,2008,the Charioteer ,,12.3
HD 100777,HD 100777 b,1.16,368.7,383.70,1.03,2007,the Lion ,Visible through binocular,8.4
HD 101930,HD 101930 b,0.30,95.3,70.46,0.302,2005,the Centaur,Visible through binocular,8.2
HD 102117,HD 102117 b,0.17,54.7,20.67,0.1532,2004,the Centaur,Visible through binocular,7.5
HD 102195,HD 102195 b,0.45,143.0,4.11,0.049,2005,the Maiden,Visible through binocular,8.1
HD 102272,HD 102272 b,5.90,1875.2,127.58,0.614,2008,the Lion ,Visible through binocular,8.7
HD 104985,HD 104985 b,6.30,2002.3,198.20,0.78,2003,the Giraffe,Faint to the naked eye,5.8
HD 106252,HD 106252 b,7.56,2402.8,1600.00,2.7,2002,the Maiden,Visible through binocular,7.4
HD 10647,HD 10647 b,0.93,295.6,1003.00,2.03,2003,the River ,Faint to the naked eye,5.5
HD 10697,HD 10697 b,6.38,2027.8,1076.40,2.16,2000,the Fishes ,Very faint to the naked eye,6.3
HD 107148,HD 107148 b,0.21,66.7,48.06,0.269,2006,the Maiden,Visible through binocular,8.0
HD 108147,HD 108147 b,0.26,83.0,10.90,0.102,2002,the Southern Cross ,Visible through binocular,7.0
HD 109749,HD 109749 b,0.28,89.0,5.24,0.0635,2005,the Centaur,Visible through binocular,8.1
HD 111232,HD 111232 b,6.80,2161.2,1143.00,1.97,2004,the Fly,Visible through binocular,7.6
HD 114386,HD 114386 b,1.24,394.1,937.00,1.02,2003,the Centaur,Visible through binocular,8.7
HD 114729,HD 114729 b,0.84,267.0,1135.00,2.08,2002,the Centaur,Visible through binocular,6.7
HD 114762,HD 114762 b,10.98,3489.8,83.92,0.353,1989,the Bernice's Hair,Visible through binocular,7.3
HD 114783,HD 114783 b,1.00,317.8,501.00,1.2,2001,the Maiden,Visible through binocular,7.6
HD 11506,HD 11506 b,3.44,1093.3,1270.00,2.43,2007,the Sea Monster,Visible through binocular,7.5
HD 117207,HD 117207 b,2.06,654.7,2627.08,3.78,2004,the Centaur,Visible through binocular,7.3
HD 117618,HD 117618 b,0.18,56.6,25.83,0.176,2004,the Centaur,Visible through binocular,7.2
HD 118203,HD 118203 b,2.13,677.0,6.13,0.07,2005,the Great Bear ,Visible through binocular,8.1
HD 11977,HD 11977 b,6.54,2078.6,711.00,1.93,2005,the Male Water Snake,Visible to the naked eye,4.7
HD 121504,HD 121504 b,1.22,387.8,63.33,0.33,2003,the Centaur,Visible through binocular,7.5
HD 1237,HD 1237 b,3.37,1071.1,133.71,0.49,2000,the Male Water Snake,Visible through binocular,6.6
HD 125612,HD 125612 b,3.00,953.5,502.00,1.37,2007,the Maiden,Visible through binocular,8.3
HD 130322,HD 130322 b,1.02,324.2,10.72,0.088,1999,the Maiden,Visible through binocular,8.1
HD 13189,HD 13189 b,14.00,4449.6,471.60,1.85,2005,the Triangle ,Visible through binocular,7.6
